"kalah bertanding","keok"
"bau jelek sekali","lassot"
"teras, teras rumah","serambe' , serambi"
"asam","masam"
"kabaya","kebaye"
"tidak tau","daan tau"
"apakabar","apakabar"
"tiup","ambus"
"biar","halle"
"isi","isse'"
"mengupas","kelopak"
"plastik","plastik"
"mencuat","ngelaik"
"tidak bisa berdiam diri","ngelanyar"
"kaki","kaki"
"menantu","menantu"
"amplop","amplop"
"selamatan anak","bekekah"
"renyah","rangngup"
"tidak","inda'"
"melewati kepala","lampus"
"berselimut","bekumbok"
"hancur sampai bagian halus","lummat"
"iya","ngk"
"cahaya","cahye"
"angin","angin"
"licin","licing"
"menjahit","jaik"
"jambang","rongos"
"cangkang","kerubbong"
"berhala","berhale"
"seperti","bagai na'"
"menerima","nerimak"
"rebus","rabbus"
"sialan","sialan"
"nama","name"
"menjadi putih","mutteh"
"jera","jarra'"
"melotot","teconom"
"dibagi","bancoh"
"dacin","dacing"
"nama buahan","maram"
"sepatu","sepatu"
"cocok","pas"
"nabi","nabbi"
"bangkit dengan sesegera mungkin","merugas"
"gerombolan","gerombol"
"waktu","waktu"
"kambing bertanduk panjang","ganda'"
"nyiur","inynyor"
"kamar tidur","lintok"
"gosong","rattong"
"jujur","jujor"
"bingung","kelingngau"
"bagian","bagian"
"keseringan","karrap"
"ngak ada","sean"
"jendela","kelengkokan"
"bolak balik","besundang"
"meniup","ngambus"
"darah bawaan","bakke"
"anak-anak","biak kacik"
"keluarga saya","insanakku"
"lompat","engke'-engke'"
"tukar","ganti"
"terlelap","telallap"
"terlalu lemah","letoi"
"pulsa","pulsa"
"berangsur","angsor"
"perhatian","ngape'kan"
"orang darat","urang darat"
"berangkat kesawah","mare kumme"
"telungkup","nungkup"
"teras rumah","teres"
"kecil","kaccik"
"terlumat habis","lati"
"keuntungan","keuntongan"
"diam","diam"
"putih sekali","melappo'"
"kuat daya tahan","lullongan"
"ibadah","ibadat"
"depa","dappa'"
"teruk","burok"
"halilintar","lentar"
"makan dengan nafsu","makan"
"nyiru","nyirok"
"kapas","kabu-kabu"
"wadah","bareng"
"memancing ikan dengan cara pancing ditinggalkan.","najor"
"nanah","nanah"
"burung hantu","buak"
"mengutuk","la'nat"
"perih","paddeh"
"terlalu banyak bertanya","ale'"
"seolah-olah","cak-icaknye"
"antena","antene"
"kering","karring"
"kena getahnya","imbas"
"ketam","kattam"
"ruang gerak","lansar"
"pantau","nirau"
"warung makan","warong makan"
"hujan deras sekali","ribbut"
"jambang","jambang"
"dinding","dinding"
"tiduran","tidok"
"bicara terus","ngrepek"
"aku mencintaimu","aku cinte kau"
"akrab, sahabat kental","rapeh"
"malu","suppan"
"bintil","bintel"
"kok","tang"
"katamu","jimu"
"keranjang","ragak"
"telinga panjang","teling jenjeng"
"tengkuyung","kuyong"
"enam","annam"
"terjatuh","belabbik"
"kuning indah","kuning langsat"
"suap","suap"
"motif kain tradisional sambas","lunggi"
"bercinta","becinte"
"pantat","burrik"
"obat","tambe"
"tempat penjagaan","gardu"
"balutan untuk mencegah gerakan tangan bayi","baddong"
"menjadi","menjadi"
"meluas","melarah"
"enggak","daan"
"mundur","mundor"
"banyak ya","banyak i"
"bau benda berbahan kain yang disimpan lama","bangngam"
"ganjaran","hadiah"
"pengikut","pengikut"
"terbatas","tebatas"
"bekas","gissa'"
"batang","batang"
"pensil batu","garrep"
"meramal nasib","merasi"
"kadaluarsa","ubas"
"akhirnya","akhirnye"
"japai menurut kebiasaan supaya tidak kena sial dan kemponan","japai"
"mengawali","ngawalek"
"mencari ikan menggunakan alak tangguk","nanggok"
"satu","satu"
"hubungan seksual","ngampek"
"robek","rambau"
"drama","pelam"
"memikirkan","mikerkan"
"sekarang kau","kinitok kau"
"kalong","keluang"
"lap","lap"
"kulkas","kulkas"
"khawatir","ribbe"
"maklum","faham"
"nenek","uwan"
"hi","hai"
"berlalu","belalu"
"jalan-jalan","plaser"
"berhubungan","berubongan"
"kain penghapus debu dan kotoran yang menempel","lap"
"telpon","telpon"
"kelihatan","keliatan"
"biasa diucapkan berulang yang berarti terengah-engah","angeh"
"dempul","dampol"
"pendek","kattai"
"hempas","ampas"
"membantu","bantok"
"uji","uji"
"hempaskan","ampas"
"terjatuh","telempar"
"senggama","ancik"
"semangka","semangke"
"kau","kau"
"bentak","aok"
"kencang","kancang"
"panggilan untuk anak sulung (anak tertua / anak pertama)","along"
"kurang waras","ayap"
"membatalkan sesuatu yang sebenarnya sudah di konfirmasi","cop"
"jernih","anning"
"tabrak","langgar"
"ikan teri","pusok"
"menempel dengan kuatnya","ngancing"
"tidak ada","dise'"
"lumpur","lumpor"
"tidak tahu","intah"
"bendera","pendere"
"binatang kecil yang mengerumuni sisa makanan","bari-bari"
"banyak ya","banyak i"
"agung","agong"
"lemah tubuh kamu","lamah badan mu"
"pelit","peretok"
"berkeringat","bepalloh"
"santai tanpa arti","kelek-kelek"
"kursi","korsi"
"bertani","kumme"
"teruk","sarram"
"melur sejenis bunga","mallor"
"sesuatu","sesuatu"
"anti","anti"
"kuali","kuali"
"tega","sagal"
"air keruh","kabut"
"baru","barok"
"sisa makanan","keradak"
"sejenis tumbuhan ditepi sungai","galli"
"curah","currah"
"baca","bace"
"sangat terburu-buru","gopoh grapah"
"perhatian (tidak ingin mengecewakan)","ratte'"
"linglung","lingau"
"aplikasinya","aplikasinye"
"basah kuyup","basak busok"
"berjalan diatas titian","nitti"
"tanah (jalan dsb) yg becek dan berlumpur","amau"
"nama burung","killik"
"berasa","rase"
"rata","lati"
"meluruskan kaki","kajjong"
"jalan-jalan","bejanjang"
"guna","gune"
"berdayung","bekayoh"
"jatuh kena air","ancap"
"bubu penangkap ikan","illar"
"depan","dapan"
"berenang","berannang"
"abad","jaman"
"pikul","gandar"
"beliau","beliau"
"perut","belaran"
"babi","babi"
"kondangan","sarokan"
"dosa","dose"
"jantung","jantong"
"Masihkah","masehke"
"mengamuk","manas"
"kapan","bille"
"turut","turut"
"posisi","Kedde-kudde"
"terjatuh dari jalan kaki atau berlari","serampah"
"kayu gaharu","gahru"
"raba","usap"
"bolong","lobong"
"urutan terakhir","muncik"
"menahan malu karena salah","cammak"
"biji zakar","bige' paler"
"sebentar","caccah"
"contoh","conto"
"semakin","makin"
"longgar","kallos"
"bibir","bibber"
"ungkapan kagum","i"
"bertanding","beradu"
"diatas","nengge'"
"bertahan dengan pendapatnya","betakkak"
"tidak pernah diam","lisse"
"potensi","potensi"
"cekatan","cakatan"
"sangat asyik menemani orang berbicara","berelon"
"kuota","kuota"
"jalan sendiri","nonong"
"lumpur","amau"
"orang yang mengurus suatu pekerjaan yang bertalian dengan agama Islam di dusun (kampung)","labbai"
"lancar","menali"
"mercon","marcu"
"ngemis","ngamis"
"mengajukan usulan","berussol"
"kemasukan sampah halus pada mata","kalimpanan"
"keadaan","hal ehwal"
"hutang","utang"
"sangat lembek","bunynyo'"
"kebatollan","kebetulan"
"tidak mau","sabbol"
"sea","sea"
"pergi kesawah","kumme"
"bendaharawan kerajaan","dato' bendahre"
"perahu","perau"
"lendir yang keluar dari  lubang hidung","ingus"
"gondok","bangok"
"cekung","caddog"
"kerling","jalling"
"digoyang","kincah"
"jongkok","nyerungkong"
"ani ani","pengattam"
"bibi","mak tuak"
"indonesia","indonesia"
"jatuh kebawah","luroh"
"mengacaukan suasana, memalukan, mengada-ada","ngabutte' ae'"
"gemetar","bedaggub"
"bimbang","ribbe"
"kurang puas","daan puas"
"kosong","kosong"
"didekat","antol"
"siput","belungkin"
"tidur ya","tidok i"
"sedikit","sikkit"
"terlalu banyak bertanya","alek"
"merembes","melarrah"
"ketel","ketel"
"kasihan","ibbe"
"buntat","buntat"
"habis tidak menyisakan yang lain padahal sudah ditawarkan kesemua","radda'"
"melawan arus","ngabar"
"cina","cine"
"mebazir","merusse"
"kemenyan","kemanyan"
"galau","layau"
"hitam","ittam"
"tutup","katup"
"ambil sedikit dengan ujung jari","kutis"
"awan rendah","kabut"
"menanjung","ambol"
"kata saya","jiku"
"pantau","tirau"
"belakangan","duddi"
"mengejek","ngolok"
"tidak sadarkan diri","cuttam"
"belah","piak"
"punya dia","nok ong"
"tempat air","bak"
"dahi","kanning"
"panggil","sarro'"
"berpelukan","bedakok"
"ungkapan untuk sesuatu yang wah","yak bayyak"
"ayam","ayam"
"rusak terinjak","tilepet"
"tikar yang terbuat dari anyaman sejenis pandam","belungkor"
"anak bungsu","ussu"
"seksi","seksi"
"jaksa","jakse"
"seumuran","bayyahan"
"condong","cundong"
"Tergersa-gesa","kinni-kinni"
"masak nasi","merapi"
"saya (istilah bangsawan)","kole"
"sebagai","sbagai"
"ampunilah","ampunek"
"anak ke 2","angah"
"mobil","otto"
"dapur","siyok"
"jeruk","limau"
"bila","bile"
"tidak karuan","ayap"
"jelek","cuwai"
"dodol","dodol"
"tokek","takkek"
"terlalu besar","gebo'"
"berlari cepat","lancing"
"jempol","jempol"
"berputar disekeliling kita","beselili"
"sok","berawe"
"gempur","gampor"
"bergelimang","gelimang"
"bagaimana","gimane"
"kadaluwarsa","gawak"
"suka","suke"
"gila","babang"
"mendorong dan mengerang untuk mengeluarkan sesuatu di dalam perut(melahirkan; berak, dll)","ngajjan"
"cowok selow","biak ligau"
"lamban dalam memahami sesuatu","babal"
"bibi","mak tuak"
"aqiqah","bekekah"
"cuma","cumme"
"melotot","cinnat"
"jendela","pelenggokan"
"menciummu","nyium kau"
"gula merah","gule merah"
"koyak-koyak","rambau"
"saya bilang","jikku"
"bakul","bakol"
"kantuk","ngantok"
"jepang","japang"
"miskin","sontok"
"kumpulkan","kummo'"
"wajah yang kotor oleh arang, lumpur","simoreng"
"tenggorokan","kerungkongan"
"merawankan hati","haru"
"isi","issek"
"butiran padi dalam beras","antah"
"berjalan tegap","ngebeng"
"tidak bisa diam","ngelatap"
"dibawah","dibawah"
"payudara","susu"
"panci","appan"
"montok","jambal"
"macam","macam"
"malu","suppan"
"perilaku","kelakonan"
"tidak terlihat","daan nampak"
"membuka","mbuka'"
"baik hati","baik"
"laris terjual","laku"
"lampu senter","sentar"
"kuliah","kuliah"
"menyelip","nyallik"
"basah","basar"
"santai","golek"
"abad","abad"
"gegar","gaggar"
"mengerang","ngarrang"
"ular","ular"
"penyakit yang diderita oleh kaum wanita yang pernah melahirkan yang biasanya sakitnya diperut","meroyan"
"jemuran pakaian","assaian"
"putih","puteh"
"harus","wajib"
"beras","barras"
"rapatkan, kunci","takat"
"berjumpa","bejumpe"
"mau pergi kemana","nak kemane"
"ketumbar","ketumbar"
"rampok","rampok"
"sekeluarga","nak beranak"
"besok","isok"
"tidak bisa melihat","daan bise meliat"
"tidak pernah bosan","berantu"
"giwang","bonel"
"mengumpulkan","himpun"
"bersamaan","seratte"
"kepah","kappah"
"menyusul","nyussol"
"dapat","dapat"
"mati","mati"
"bau bangkai","bunto'"
"bisa","bise"
"kabarnya","kabarnye"
"kuping dempet","kepet"
"orang atau anak","anak"
"mulas","sakit parut"
"berbicara asal-asalan","ngerape'k"
"jahat","jahhat"
"curang","ngakal"
"kekuatan","kekuatan"
"sejenis kucing","benturun"
"Terhuyung-huyung","meper"
"ngorok","nyangor"
"kaleng","canting"
"temani lah","ulokkan lah"
"sempit","alik"
"berdenyut","bedannyot"
"berdiam diri dalam rumah","matak"
"keluar masuk dari tempat","jolor-padat"
"cucu","buyut"
"akan","na'"
"kelakuan","faal"
"menangkap","nagkap"
"disekolah","disekolah"
"hangus","rattong"
"kurang sehat","kurang sehat"
"ini","ittok"
"lagi banyak","mussem"
"nenen","nenen"
"rambut tidak terurus","ngrappang"
"lagu","lagu"
"temen","kawan"
"nama kue","kelappon"
"pabrik","pabrek"
"sebuah","sebuah"
"kedipan mata","birip-birip"
"baju bayi","lamping"
"rusak","rusak"
"kehabisan segalanya","kompe'"
"jaringan","jaringan"
"tirai","tirai"
"wanita","perempuan"
"tendang","pantong"
"berdandan","mesen"
"musim","munsem"
"perawan","perawan"
"tahu diri","ngadar"
"salah satu makanan berbahan dasar sagu","lempeng"
"vagina","puke'"
"sama","same"
"kedalaman air di atas kepala","lampus"
"parang","parang"
"kira","kire"
"tentang","tentang"
"makan lauk atau sesuatu dalam jumlah banyak","ratah"
"akur","akor"
"selamat","selamat"
"gosong","rattong"
"mengompol","tebubok"
"contoh","contoh"
"beludru","beludru"
"bocor","passok"
"sampai","jajak"
"rewel","bongka'"
"teater tradisional","bedande'"
"pesan","passan"
"pesek","piccak"
"petai","patai"
"banyak sekali","belampar"
"mulas","mullas"
"mengangkang","ngangkang"
"serbuk","bubbok"
"untung banyak","congkoy"
"tidak berdaya","tekulai"
"ramah","ramah"
"menepis","nappis"
"ganteng","aksi"
"telusuri","jelujjor"
"dekat","dakkat"
"segini","segitok"
"jatuh","bellabbik"
"comberan","ciringan"
"aneh","endah"
"mereka","biak"
"tiba","tibe"
"injak","kaccak"
"menyumpah","la'nat"
"kaki seribu","entigik"
"memarahi","marahhe'"
"ukuran","takarran"
"kamu","nikke"
"Pelan-pelan","muppok"
"rindu","salok"
"angkat","angkat"
"sekarang kau","kinitok kau"
"cerai","carrai"
"maksu","maksu"
"cabai","cabek"
"angkuh","kerewak"
"ribut","gadoh"
"lecet","liccak"
"membabi buta","nekat"
"gila","ayap"
"kiasan untuk orang yang selingkuh / main serong","bekanda'"
"sepupu","petunggalan"
"anak","anak"
"mulai","mulle"
"bh","kotang"
"mengadakan","ngadekan"
"membaca","mace"
"pantai","pantai"
"goreng","goreng"
"berbunyi nyaring","belampang"
"lambang kekuatan","bantellan"
"licin","lannyum"
"genit","lanjit"
"tergeletak","tiledak"
"meluncur lamban","damal"
"hamba","hambe"
"menekan dengan ujung jari","piccik"
"bersetubuh","agek geye"
"imam","imam"
"kurang","kurang"
"cegah","caggah"
"langsung saja","pugekan"
"susah juga","payah juak"
"bersihkan dengan air","gurrahe'"
"duduk dengan meluruskan kaki","kajjong"
"menerkam","gerammus"
"intik","nilik"
"12","12"
"degel","ngaliek"
"sambas","indonesia"
"cerita rakyat sejenis McGyver","kucup"
"tidak akan","inda' dallap"
"sombong","kerewak"
"keperluan","hajat"
"telat","tallat"
"cembung","mukkong"
"bangga","bangge"
"kutang","kotang"
"kopi","kopi"
"kira","nujjum"
"menarik","narik"
"menyembur","murras"
"tercebur","cabbor"
"nanti","kalak"
"makan dengan lahapnya","nale"
"menangkap ikan dengan tangan kosong","gammal"
"bodoh","babbal"
"kusut","kissut"
"ingin lagi","kanyat"
"baskom","bareng"
"bayar","bayar"
"kemana","kemone"
"kincah","kirrah"
"sekat","bandol"
"cuci piring","bebasok"
"ayah","bapak"
"semok","jambal"
"rindu","salok"
"sexy","seksi"
"bahaya","bahaye"
"kaki menendang kaki","benteh"
"100","100"
"bukan main","kan agek"
"sejenis hutan","uddas"
"tidak sama sekali","ngkoset"
"biji","butte'"
"semprong","samprong"
"besok","isok"
"tidak garing","lammau"
"berbicara kotor","incarut"
"hajar","bantai"
"kepasar","kepasar"
"kentang","kantang"
"kerongkongan","kerungkongan"
"segar","gase"
"korek api kayu","marirang"
"tempat kerja tukang besi","bangsal"
"motor air","motor ae'"
"anus","jubor"
"rasa kurang enak karena terjadinya suatu pembatalan","asa'"
"tidak main-main","singinyan"
"Betulkah","inyanke"
"tunggu sebentar","dolok we dolok"
"hantam","lanjutkan"
"datuk","datok"
"pelet","pelet"
"bau busuk badan","bangam"
"kayu lunak dan ringan","gabus"
"siapa","sape"
"melotot","cinat"
"bopeng","borek"
"gadis perawan","nak dare"
"soalnya","soalnye"
"mengeras","najjing"
"tuli","tule'"
"tempat tidur","rasbang"
"kandang","raban"
"apa nya","ape nye"
"senggama","kentot"
"maut","maot"
"budak budak","biak"
"mengada-ada","ngeramput"
"cakep","ganteng"
"disana","innun"
"dungu","bodo"
"kue","tambok"
"menemani","ulokkan"
"mainkan","ngajjalkan"
"derai","darrai"
"terompah","capal"
"menyakitkan","nyakitte'"
"masuk kedalam","madat"
"orang tua dari menantu","besan"
"biar saja","alekan"
"pemimpim","pemimpin"
"mengeluarkan muatan","munggah"
"selesai","hattam"
"burung besar","gorde"
"benar-benar tidak setuju","besumpik"
"lebih","labeh"
"sehingga","sehingge"
"menang","manang"
"senyum","ngidum"
"tempeleng","belampang"
"disini","disitok"
"diejek","olok-olokan"
"gigi","gigi"
"lengket sekali","ngancing"
"ayam katte","ayam danna'"
"renggang","jarang"
"seburing","seburing"
"dijalan","dijalan"
"menyusui","nennen"
"bengek","sussut"
"mubazir","meruse"
"sesat akal","babbang"
"menanam padi","nandor"
"mengarak","ngarak"
"terselip","nyompel"
"pelita","pelitte"
"dimana","dimane"
"kiri","kere'"
"kesini lah","kesitok lah"
"lebih dari biasanya ; sangat banyak","belle"
"toleh","kalleh"
"suara mengganggu","bissing"
"g","g"
"sebenarnya","innyan"
"berantakan","betaboran"
"kirain","kire be"
"loreng","lorek"
"menyelam","nyallam"
"lewa","lalu"
"bergantian","belale'"
"tipis","pippeh"
"tidak sabar","daan sabar"
"berhantu","berantu"
"pantat yang besar","tonggek"
"sentuh","jawel"
"sembur","burras"
"menaikkan alis mata","ngijjat"
"makan tanpa nasi","beratah"
"menekan dengan kuat","hannyak"
"acara selamatan anak kecil sebagai tanda sudah boleh main-main diluar rumah","timbang apam"
"tawari","tampah"
"sekarang kau","kinitok kau"
"jatuh tertinggal","cecer"
"laden","elon"
"pikiran tidak menentu","nyanyok"
"membelok","belok"
"lagi dimana","agek dimane"
"dong","lah"
"lelet","alon"
"selalu","nyelalu"
"kiasan untuk orang yang selingkuh / main serong","bekandak"
"tergelincir","ngeliddas"
"istirahat","istirahat"
"senter","sentar"
"kagum","kagum"
"lunak","buai"
"pelan","palan"
"minum air","minum aek"
"buppet","bopet"
"senyum tertahan","ngidum"
"berbaring","guring"
"canggung","janggal"
"air sari kelapa","legen"
"durhaka","derahke"
"makanan tradisional","bubbor paddas"
"ngak ada","sean"
"mustinya","kanda'ang"
"terjadi","tejadi"
"tidak ada","disse'"
"masih utuh","bungngas"
"membuka dengan mengiris","babbas"
"tahun","taon"
"terpotong","paggat"
"perahu","perawu"
"cacing kremi","biar"
"cucu","cucco'k"
"semangat","semangat"
"pilek","kalinsamme"
"longgar","gelebor"
"dibawah","dibawah"
"bahagia","bahagie"
"berteriak sekeras-kerasnya","ngeraok"
"acap kali","sidaddang"
