"nggak","daan"
"melotot","tecinnat"
"menonjol","jabbul"
"ngeluh","ngalloh"
"suntik","sontet"
"kembali","balik"
"berjalan","gayau"
"meriam karbit","lagum"
"mengepil","ngapik"
"tidak mau","sabbol"
"pijit","picik"
"nama ikan","billis"
"ikhlas","ikhlas"
"perahu besar","tongkang"
"bersanding","duddok timbangan"
"biji","biggek"
"tidak ada","dise'"
"singlet","panas kotang"
"ketemu","bejumpe"
"tang","tang"
"cpns","cpns"
"traktir","njamin"
"kera","karra'"
"ikan pepes","botok"
"inti pohon","mpullor"
"dayak","dayak"
"kapak","kapak"
"lalat besar","langau"
"tidak ada","disek"
"mau","mao'"
"kepala","kepala'"
"terbelalak","ncorong"
"lesu","lassu"
"laki laki","urang laki"
"menarik/membentangkan benda elastis","bajjang"
"sih","ye"
"lipan","lippan"
"angkasa","angkase"
"membangkitkan keinginan","ncaratte'"
"gosip-gosipan","beragi"
"ipar","ipar"
"sandal","kasut"
"tidak","an"
"bungkusan","kerubbong"
"sedih","sadeh"
"jijik","gatti'"
"kejadian","kejadian"
"kayu keras","labban"
"tidak berdaya","telempe"
"sakit kulit pada anak-anak","krammut"
"gak","daan"
"cangkir","cangker"
"mengintip","intip"
"minta","minta'"
"kue semprong","samprong"
"perut","parrut"
"tidak pernah","daan suah"
"menggiling","gilling"
"cawan","cangker"
"masjid","langgar"
"balik","balik"
"berturut-turut","beruntun"
"noreh","nurreh"
"aplikasi","aplikasi"
"jatuh ke air","ngelabur"
"kopiah","songkok"
"betul","innyan"
"musim penyakit","awar"
"kontol","paler"
"tiru","nirru"
"kaleng besar","ballek"
"kemaren","simari"
"nama ikan","lumek"
"kamu","dirre'"
"sibuk","sibuk"
"bermimpi","mimpi"
"mengerti","ngerati"
"terjatuh","tesusok"
"kupu-kupu","rami"
"senang","suke"
"tolong ngerti perasaan ini sedikit saja","tulong ngerati perasaan sikit ajak"
"petir","lentar"
"do","do"
"nama kue","nage sari"
"gerogi","gamam"
"tapi","tapi"
"pecah","tebabbas"
"tidak peduli","koset"
"ubin","tehhel"
"usaha terus","gele'"
"bini","binni"
"sejenis rumput tajam","banta'"
"padang","padang"
"hantu","burong"
"acara","acare"
"cabul","cabul"
"stop","stop"
"terlalu","kelaluan"
"goblin","goblin"
"pompa","kumpe"
"kerang","karang"
"memegang","maggang"
"lowong","luang"
"luka bakar","batto'"
"mencari sesuatu dengan cara tertentu","ngaggap"
"sebelah (menunjukan tempat)","antau"
"terjatuh dengan posisi terduduk","tirantak"
"kucing","kucing"
"ada apa","ape be"
"raut muka mau menangis","melebe'"
"jatuh","belabik"
"tidur","tiddok"
"pula","agek e"
"karung","karong"
"tanggung","tanggong"
"ingin lagi","kanynyat"
"penyakit","penyakit"
"ngak ada","sean"
"mulut","mulut"
"menggoyang","goyang"
"tidor","tidok"
"kakak awet muda","kakak awet mudak"
"tidak tahu diri","daan ngaddar"
"kotoran gigi","taek ugik"
"manja","bongkak"
"bertutur","bekesah"
"siku","sikok"
"berkenaan dengan binatang","falak"
"nyantai","mejeng"
"kubangan","lupak"
"lambat","lambat"
"hati hati","ati ati"
"negeri","nagri"
"paling","indo' raje"
"sampah disungai","uras"
"menawar harga","nawar"
"mendongkak","langgak"
"deh","be"
"suara jatuh","belabbik"
"mematahkan","pulakkan"
"santai","leha"
"betul","battol"
"tunggu","tantek"
"lemah","lammah"
"apa","ape"
"terjepit","tisirapik"
"onani","melocok"
"buah khuldi","bigge' lakum"
"cinta","cinte"
"berdiri bulu roma","ngeranjang"
"rusuh","kacau"
"fasih","ngelekot"
"bagaikan","bak"
"guling","guling"
"buku","buku"
"terima kasih","makkaseh"
"pemainan cina","bongja"
"awan","rammang"
"begitu","gayye"
"baju atau kain yang kusut","ranyok"
