"nggak","daan"
"kumpul","ngumpol"
"anak kelima","acci'"
"pagi sekali","fajar"
"mengapa","jape"
"pontiana","selakau"
"sakit","sakit"
"warna hijau tua","bayau"
"suruh","suroh"
"cincalok","paddak"
"hangus","angus"
"harga","harge"
"kupas kelapa","gusak kelapa'"
"berbeda","bede"
"ebi","pappai"
"bau kentut","lassot"
"pekak","bangngal"
"melakukan sesuatu diluar jangkauan","berawe"
"ungu","gadong"
"melarat","melarrat"
"betis","battis"
"berlabuh","belaboh"
"tumbuh","tumboh"
"berdiri tegak","ticagat"
"ngomong","ngomong"
"istri","bini"
"hitam pekat","laggam"
"sama sekali tidak sependapat atau ngotot","nakkak"
"tergelincir","telincer"
"derita","derite"
"kebiasaan","kesalle'an"
"kaki seribu","intigi'"
"ditakdirkan","kanak takderkan"
"himpit","impik"
"garing","rangngup"
"gendut","gandut"
"depannya","dappannye"
"games","games"
"sombong","kerewak"
"sendirian","senyorang"
"linglung","ayap"
"penyot","kappe'"
"terus","tolen"
"hadap","adap"
"perawan","dare"
"jangankan","jangankan"
"mengasuh bayi","mirra'"
"seterusnya","kak iye"
"ini ya","itok i"
"piring","pinggan"
"kedip","ngirrap"
"bergoyang-goyang","ngiggal"
"gulungan kain","bal"
"insyaf","maddas"
"unduh","undoh"
"membanggakan miliknya kepada orang lain","edeh"
"ayam betina","ayam betine"
"main kartu","ceme"
"hampir masak","mangkallan"
"bekerja cepat karena mendadak","taggeradag"
"kasur","sedunni"
"akrab","akrab"
"merajuk","merajok"
"main lumpur","bekumbah"
"bocor","bocor"
"kumbang","ampal"
"jangan coba-coba","nampah"
"gelas","cangker"
"tidak bisa berdiam diri","ngelattap"
"akar bahar","akar"
"memancing ikan gabus","ngotek"
"desas desus","kelakar"
"ngikut","ngimbai"
"hanyut","anyut"
"memangnya","memangnye"
"kelakuan sehari-hari","fi'il"
"mengusir nyamuk","ngibbau"
"langgir","langger"
"gua","gue"
"merkekayasa","mereke"
"sebentar","bantar i"
"senyum","tekidum"
"tidak perlu","daan jarreh"
"membelah","nampang"
"buluh","aor"
"terpampang","tesendeng"
"sering","karrap"
"cengeng","penanak"
"cuaca hari ini panas banget","cuace ari itok panas inyan"
"canda","pongah"
"amuk","amok"
"peragaan","peragaan"
"bidadari","bidadari"
"tidak jadi","baloi"
"depan rumah","serambek"
"terduduk","teperedok"
"jilbab","jilbab"
"celana pendek","kato'"
"tabiat","faal"
"menyepak tumit","numbikke'"
"yang","yang"
"ya udah","udah lah"
"minta ikut","nunda'k"
"tiga","tige"
"manadah air","nyalut"
"mendorong","nullakkan"
"udara","hawe"
"kopiah dari arab","iggal"
"biri-biri","ganda'"
"yang mana","yang mane"
"kemaluan laki laki","paler"
"kebal","kabbal"
"makanan makhluk halus","ancak"
"lemah","gaggai"
"kecewa","beda'we"
"kataku","kate"
"memanggil","sarroe'"
"stabil","stabil"
"pelipis","pelipis"
"batuk yang berlebihan","betakol"
"kunci dari kayu","sondok"
"sembelih","gorok"
"asal ngomong","ciletok"
"anak hasil hubungan gelap yang tidak mempunyai ayah","anak ampang"
"kanan","kanan"
"ahli","ahli"
"gelang kaki untuk bayi yang dapat berbunyi","gerunnong"
"terserah aku","kaatiku"
"dia","die"
"bekelahi","betumbok"
"celak","callak"
"berisi","berisek"
"merancak","menabrak"
"kata hubung untuk kalimat pertentangan","killak ang"
"sulit dilewati karena ada semak belukar","alik"
"sulam","border"
"tidak kemana-mana","nogo'k"
"orang","biak"
"masalah","masalah"
"goncengan","gonceng"
"buang air besar","berak"
"basah kuyup","basa' buso'"
"kenapa","ngape we"
"puki","pukek"
"mancung","mancong"
"burut","burrut"
"anak haram","anak kampang"
"telinga berdesing akibat suara yang memekakkan","panne"
"bandung","bandung"
"pemberitaan","pemberitean"
"injak","kaccak"
"daun sayur kas untuk bubur pedas","ngkassum"
"kereta api","gerete api"
"kacamata","kacemate"
"sebagai","selaku"
"berak tapi hanya sedikit tahi yang keluar.","tikincik"
"menelpon","ngebel"
"perduli","peduli"
"hampir cerai","brambangan"
"jalan jinjit","nunjing"
"susah dan sedih","berai"
"semalam","simalam"
"menghampiri","paggek"
"tembem","timemek"
"memungut","njanto'"
"menyenangkan","suke"
"mandur","mandor"
"lonjong","bojong"
"akibatnya","rappokkannye"
"tidak akan","besumpik"
"sesat","sassat"
"arah","fihak"
"peci","songkok"
"banyak","bejibun"
"bermain","pongah"
"pelit","kedakut"
"berbuat","bebuat"
"disingkawang","di singkawang"
"penasaran","beda'we"
"kolor","kato' sampak"
"hape","hape"
"perlawanan keras","belantak"
"ganjil","ganjel"
"laki","biak laki"
"gudang","gudang"
"apes","tikannak"
"kasur","bolsak"
"nasi","nasek"
"setempat","setampat"
"kata orang","jinye urang"
"terlalu","lalu"
"kunyah","ampak"
"satu ekor","sekok"
"terburu buru","gopoh"
"misal","kaedah"
"melamun","ticonom"
"bodol","dogol"
"jambul","jambol"
"cantik","cantek"
"kelakuan","bawa'an"
"keringat","palloh"
"terasi","belacan"
"berjalan","bejalan"
"anong","anong"
"satu dua tiga empat lima enam tujuh lapan sembilan sepuluh","satu duak tige ampat limak annam tujjoh lapan semelan sepuloh"
"jin","ajjin"
"jahanam","jahnam"
"merpati","merpati"
"sapi","sapi"
"kerisut","ngerenyot"
"terkejut","tikajjut"
"mangga","asam"
"bola mata besar","buak"
"ajak","jakke'"
"bisu","bissu"
"binatang sejenis lalat","langau"
"sayang ku","sayang ku"
"menara mesjid","kubbah"
"pelacur","lonte"
"wajah","paras"
"enasa","binase"
"selang seling","allat"
"jual","nyual"
"durhaka","derake"
"surat","surat"
"sadar","ladde"
"jingga","jingge"
"dongkel","cungkel"
"geram","garram"
"mengetam padi","beranyi"
"bagus","bagus"
"pembuka","pembukak"
"mengatai","ngatekan"
"ujung ekor ayam","dogeng"
"menanam padi","camai"
"mengaduk secara acak","arau"
"menyadap pohon karet untuk memperoleh getah.","nangkal"
"bagaikan","bagai na'"
"bersin","kasek"
"beritahu","padah"
"kelereng","bahpal"
"sembuh","samboh"
"langit langit","dek"
"mikir","miker"
"dong","lah"
"terjatuh karena licin","tekelidas"
"lihat","liat"
"terkenang","tikanang"
"lemak","lammak"
"bergoyang","lenggar"
"kue sambas","bingke"
"rakus","tammak"
"kali","kalu"
"dibawah pusar","banne'an"
"ketahui","ketahue'"
"naga","nage"
"berongga","geronggang"
"berhasil","berasel"
"kehilangan arah","pitau"
"bendera","pendere"
"harganya","hargenye"
"cobalah","cobelah"
"tidak ada yang keluar sebagai pemenang","baloi"
"anak nomor dua","angah"
"sobek","koyak"
"nama saya","nameku"
"panggilan kepada seoranganggota keluarga yang ke-lahirannya setelah kelahi-ran si bungsu","alang"
"sisi","fihak"
"belut","lindong"
"cece","cece"
"menyepak","nyepak"
"kini","kinni"
"kuat kerja","gancang"
"suamiku","lakiku"
"kira","dugge"
"misahkan padi dari tangkainya dengan diinjak-injak","ngirrik"
"tersandung","tedanggol"
"tidur","tidok"
"tergeletak","geletak"
"mengkerut","bekarrut"
"berhenti merokok","taem berokok"
"nasi yang kurang matang","ngerattis"
"terbahak","ngakkal"
"berhenti","taem"
"luka goresan","ronges"
"berlebihan","belabehan"
"pergi entah kemana","ayap"
"bohonh","bulak"
"memukul dengan lidi","barrut"
"begadang","begadang"
"pantesan","patut"
"punya","no'k"
"wallimahan","wallimahan"
"muntah berak","muntah berayang"
"pijat","urrut"
"ukuran","cakkal"
"sebutan lain dari sambas","nargi"
"mengetuk kepala","nukko'"
"musim tanam padi","nandor"
"iyelah","aoklah"
"anjing","aso'"
"paman","pak(along,ngah, usu, ude)"
"menabrak","melanggar"
"melakukan sesuatu","bekerenah"
"langit","langit"
"sudah datang","udah datang"
"kemarin","semari"
"gelap","galap"
"kuat-kuat","ngancang"
"canda","pongah"
"memukul punggung dengan tangan digenggam","tagum"
"burung tekukur","tekukor"
"kota","kote"
"mana","mane"
"ruang depan","serambek"
"bertengkar","becakkak"
"terbangun","tebangun"
"pakaian dalam","cawat"
"minyak","binyak"
"dulu","dolok"
"kerasukan","kemasokkan"
"kolot","kolot"
"terserah saya","kaktiku"
"jangan sampai","babok"
"intah","intah"
"sebutan untuk serangga yang bisa menyengat","penyangat"
"hina","hinne"
"jualan","jualan"
"pontang panting","ngribbel"
"bekas pukulan","belintan"
"payah","payah"
"colok","cuccok"
"handsome","ganteng"
"korek api","maces"
"test","tarai"
"tolak","tolak"
"nyenyak","nyanyak"
"pula","agek e"
"dahulu kala","gek mare'"
"negara","negare"
"manusia","manusie"
"senter","cuar"
"harapan","harapan"
"jumlah","total"
"jago","jago"
"memaksakan diri","nguatek"
"bodoh","saddol"
"ya","ngk"
"tergenang","gannang"
"tepung kanji","kanji"
"suamiku","lakiku"
"mencari sampai dapat","ngelarau"
"deras","darras"
"mendung","mandong"
"bupet","bopet"
"sulit buang air besar","kebabballan"
"tergesa-gesa","ka'keradak"
"sebentar","sicacah"
"bosan","serampah"
"bilang","padah"
"tenang","tanang"
"tidak berani karena merasa tidak mampu","con"
"nama sayuran","lappang"
"menanam","nanam"
"4 hari setelah besok","jannun"
"namun","tapi"
"sendal","sandal"
"permen dibuat dari gula merah","lali"
"sambutan","sambutan"
"budak","biak-biak"
"kental","kantal"
"gg","gg"
"togel","nomor"
"bermain","ncaan"
"mempunyai","ade naroh"
"korek","korek"
"okelah","aokbe"
"menoreh","nurreh"
"nama ikan laut","gambong"
"keponakan","anak buah"
"cocok","nyarrap"
"durhaka","durhake"
"mabok","mabok"
"gigi maju","jongak"
"memindahkan","kaleh"
"luka","lukak"
"membuat parit","marik"
"bagian","cabang"
"katanya","jinye"
"abang","panggilan untuk pria yang lebih tua"
"ubi","bandong"
"catat","catat"
"ungkapan abstrak untuk menggambarkan sesuatu","anok"
"genit","birrah"
"belok","melok"
"kalkun","kalkun"
"cepirit","tekincik"
"menemani orang berbicara","berelon"
"jarrik","kejarrik"
"jalan-jalan","janjang"
"anak ke 5","accik"
"makan sirih","nyirreh"
"merepotkan","nyusahek"
"memakan makanan sisa","gutti'"
"tusuk","cuccok"
"muntah","mutah"
"tertawa","betawak"
"hujan rintik","rintik"
"mata posisinya tidak singkron antara yang kiri dengan yang kanan","bular"
"geleng","geleng"
"mau","nak"
"mengapung","apong"
"tempat pencucian pakaian","dobi"
"nunggu","nunggu"
"perintah tuhan","firman"
"bau busuk","lassing"
"motor","motor"
"goblok","bodo"
"mata","mate"
"mirip","same"
"kerap","karrap"
"walimahan","acare nikahan"
"Dani","dani"
"pilih","pileh"
"bergemuruh","ngelantar"
"barusan","barro'"
"memuntahkan sesuatu","lue'"
"terperosok","tiperosok"
"celana pendek","kattok"
"kasih","kaseh"
"gemetar","begagar"
"bicara terus","ngerepek"
"kantong celana","kocekan"
"merembes","melarrah"
"minggu","minggu"
"kesemutan","panat"
"sebentar lagi mau pulang ke jawa","bantar agek nak balik ke jawe"
"menjulurkan lidah","jaller"
"lemah","lammek"
"benang","bannang"
"menghantam","rojoh"
"begajik","bergetar"
"ilmu membuat kaku tangan","kakkau"
"sanggul","cemare"
"kupas","gussak"
"puji","puji"
"celana","selawar"
"aqiqah","kekah"
"selalu","tolen"
"kamu tidak","kau daan"
"berkelahi","begocoh"
"usaha sambilan","cangkau"
"sekarang kamu","itok kau"
"kamus","kamus"
"tadi malam","semalam"
"jangan bohong ya za","usah nak bulak za i"
"jalan jinjit","nunjing"
"mengompol","tibubok"
"menggaruk garuk tanah","kais"
"sebelah","sibalah"
"terbesar","paling basar"
"segera bangun","geliat"
"kejar","kajjar"
"banyak jumlahnya","belonggo'"
"duduk yang ngangkang","tikengkang"
"istrinya","bininye"
"sebuah umpatan ketika marah/sakit hati","taek palat"
"teriak teriak tak karuan","keraok kepakau"
"bujur","bujor"
"kidal","kiddal"
"mengolah","molah"
"tak","daan"
"alat memasak yang digunakan untuk mengaduk","culik"
"payau","masse'"
"merajjap","menghayal"
"mikirkan","mikerkan"
"dower","labik"
"makan di sana","makan di sinun"
"memanjakan","ampoi"
"sumur","telage"
"menipis","nippis"
"membuat","molah"
"hingar bingar","kalut"
"melihat","mantau"
"hidup","idup"
"angkat","angkut"
"benih","banneh"
"tahi lalat","tae' lalat"
"bendo","cakkah"
"perempuan dicerai mati","balu"
"di mana","di mane"
"menebak","nggarap"
"biasa digunakan daam percakapan untuk menegaskan arti tanpa pengulangan kata","kano'an"
"montok","jambal"
"menyapu","nyapu"
"mengambil","ngambek"
"lusa","lusak"
"tidak berbiji","kumping"
"sangat cepat sekali","bedassut"
"membunuh","mbunnoh"
"ereksi","canggar"
"bodoh","bangak"
"mengikut","ngikut"
"bahan","bahan"
"pemandangan","pemandangan"
"ngopi","ngopi"
"gusi","gusi'"
"lada","lade"
"tidak tahu","daan tau"
"mudah koyak","ratas"
"mengintai","intai"
"pegang","piggang"
"diperiksa","kanak perikse"
"gemuruh","gurroh"
"termenung","teconom"
"selama","selamak"
"memotong sampai terbelah","ballah"
"tak berdaya","telempe"
"berenang","bekappak"
"mikirin","mikerkan"
"jengkol","jarring"
"gabus","ruan"
"membidik","ninting"
"aduh","addoi"
"sesaat","bantar"
"asma","sussut"
"sakit perut","sakit parrut"
"ling-lung","lingau"
"gagang","gagang"
"kerak nasi","karak"
"kebaya","kebaye"
"menampilkan","nampelkan"
"soda","soda"
"kupu-kupu","rami"
"tunggu sampai","tunggu sampai"
"mengkilat","laccoh"
"tiarap","ninggkap"
"orang gila","urang gile"
"suatu tekad","nekat"
"memperhatikan","irraw"
"kacau","kacau"
"demam","dammam"
"mencoba","narrai"
"sagal","iba"
"melakukan hal yang sama","nyulle"
"garis jalan","alor"
"mencintai","cinte"
"tidak karuan","nda' tantu"
"anak haram","anak ampang"
"durian","durian"
"berhenti-henti","beranti-ranti"
"astaga","yakbayak"
"subuh","suboh"
"minum kopi di warung kopi","ngenam"
"gelinding","leret"
"longgar","ngelewer"
"duga","dugge"
"hibah","hibbah"
"pengobatan tradisional","besiak"
"kenalan","kanalan"
"bagian tengah perahu","daggong"
"lama lama","lamak lamak"
"duduk ditengah bagi tamu istimewa","nabbat"
"tidak bisa melihat","daan bise meliat"
"rindu","salo'k"
"fitnah","fitnah"
"nama kertas untuk membuat layang-layang","jarrut"
"alas tidur yg didalamnya berisi serat buah kapuk","sedunni"
"sisa","gissa'"
"kandang binatang","kurongan"
"sejenis kancing","kancing kattup"
"/","/"
"jahat","jahat"
"hina","inne"
"kalau","mun"
"toilet","wc"
"antisipasi","bangsi"
"kerumunan","kerumonan"
"bebas","bebas"
"beristrikan","bebinni"
"badan","badan"
"takaran beras","alling"
"bersenggol dengan setan","intamuan"
"sejenis mangga harum","koini"
"sholeh","sholeh"
"memanggil","nyarro'"
"allah","allah"
"merasa","merase"
"goyang","guncang"
"gak suka","daan suke"
"robek","royah"
"buang","kuis"
"mengapa begitu","tang gayye"
"belum","balom"
"mencabik","cabik"
"merupakan","merupekan"
"bikin","buat"
"memberi makan pada hantu","nyemah"
"panjang","panjang"
"emping","amping"
"kembali","mallik"
"tega","saggal"
"emping padi muda","cance"
"hari-hari mangga","musem mangga"
"air","ae'"
"ngiler","maccor"
"pelan pelan","alon-alon"
"odol","odol"
"jahil","jajjal"
"menguap","nguap"
"mimpi","mimpi"
"jarum","jarum"
"banyak ngomong","banyak ngomong"
"omong","cakap"
"silau ( cahaya)","pannar"
"hebat","bukan age'"
"tepat mengenai sasaran","bedancang"
"hitung","reken"
"tampar","pelasah"
"cie","jey"
"busuk","bunto'"
"download","download"
"semoga","mudah-mudahan"
"korban","korban"
"perhatikan","peratikan"
"lesung pipit","sojen"
"tidur yang berdengkur","nyangor"
"budak budak","biak-biak"
"bohong","mbulla'"
"saling pukul-pukulan","betumbok"
"menggelembung","ngelambong"
"orang yang bicaranya ceplas-ceplos","lamis"
"Berjanjilah padaku bahwa kamu tidak akan melupakanku karena jika aku berpikir kamu akan melakukannya, aku tak akan pernah pergi”","Berjanjilah padaku bahwa kamu tidak akan melupakanku karena jika aku berpikir kamu akan melakukannya, aku tak akan pernah pergi”"
"buah atau benda yang tidak utuh lagi karena digigit","gombeng"
"orang yang mau makan apa saja","sallak"
"suster","kunynyong"
"suatu ungkapan yang digunakan ketika malas mengerjakan sesuatu","kuawe"
"terus menerus","tentolen"
"ndak","da'an"
"sedikit sekali","cuwel"
"celana dalam","cawat"
"ketua","ketue"
"meriam mainan dengan bahan bakar minyak tanah atau karbit","lagum"
"toga","toga"
"melamun","inconom"
"saling berharap orang lain melakukannya padahal tidak ada yang melakukan","singasian"
"jauh","jauh"
"jalur","jalor"
"jendul","jandol"
"kacau","cacau"
"memasak nasi","merapi"
"tiarap","tikapah"
"tiba","datang"
"terpotong sedikit","paggat"
"ba","be"
"roh","roh"
"sisi positif dari setiap kejadian","hikmah"
"bijaksana","bijaksane"
"bibi","mak tuak"
"sombong","lawa"
"penuh","pannoh"
"kanak","biak"
"menutupi","ngumbok"
"parit","parik"
"sedang","agek"
"jentik-jentik","ingkatek"
"akhir","akher"
"tersakiti","kana' sakitek"
"tiduran","tidok"
"lampu aladin","aladdin"
"tempat tidur","rasbang"
"gotong royong","belalle'"
"pukulan selingan","ningkah"
"kacang mia","mia"
"memotong","ngarrat"
"sudut","pitok"
"acara sedekah/syukuran","hol"
"beritahukan","padah kan"
"teganya","teganye"
"sulap","sulap"
"kedekut","lokek"
"selimut","gabbar"
"liburan","pelasser"
"mengambil foto","moto"
"ungkapan untuk sesuatu yang wah","bayya'- bayya'"
"maaf","maaf"
"sadar","insap"
"dendam","dandam"
"bertopang tangan","lakko'"
"lena","lene"
"memperkirakan","nabba'"
"silau","panar"
"buang air kecil","kancing"
"diperbolehkan terutama menurut hukum agama","halal"
"besi","bassi"
"mengguyur","guyor"
"menyentuh","nyantoh"
"olehnya","leh heng"
"daerah hulu / jauh dari muara","darat"
"kebetulan","kebatollan"
"terbiasa","tebiase"
"mula","mulle"
"sebuah panggilan yang digunakan kepada anak sulung","long"
"menajamkan","narah"
"woi","oi"
"sangat banyak","bejibun"
"apa yang kamu cari","ape yang kau carek"
"badol","badol"
"janda","jande"
"sundal","birrah"
"bangun dengn cepat-cepat","meruggas"
"bengkarung","kadal"
"memeriksa rumah","geledah"
"tikungan","sileko"
"dewi","dewi"
"semak belukar","rampo'"
"merangkak","beranggong"
"berak","berak"
"sumbing","bissang"
"talam","redang"
"bergantungan","begandol"
"celaka","celake"
"menjerit","nyarik"
"gladi","icca'"
"berisik","keloh"
"angsa","angse"
"permen","gule gule"
"wah","belle"
"luka bakar","batto'"
"kabut","kabut"
"tonggos","jongak"
"mulia","mulie"
"bukan main","kan agek yeh"
"vagina","pepek"
"goyang-goyang","bejoget"
"kawan akrab","kawan kantal"
"muka cemberut ingin menangis","melebek"
"pakis","miding"
"menangkap ikan di sungai, rawa dan sejenisnya","ngael"
"terlalu keras memegang keyakinan dan kebenaran","fanatik"
"dapur","suyyok"
"satu saja","sigek ajak"
"panggil seseorang dengan menyebut nama bukan pangkat","bissi"
"jimat","jimmat"
"lampin","lamping"
"tersandung","tidanggol"
"besarkan","basarkan"
"masak","masak"
"naksir","ngurat"
"kamu bersama siapa","kau dengan sape"
"main gurrah","gurrah"
"teledor","lappe"
"berceceran","belaceran"
"tetap","tattap"
"memberitahu","marek tau"
"kalung","kungkong"
"tergiur","carrat"
"Satu-satunya","inna'-inna'ang"
"kirim","kirrim"
"berbaring","gurring"
"khalayak ramai","majlis"
"sampan","perau"
"lelah","kapak"
"bengkak diperut","bussong"
"tak berdaya","telempe"
"setelah","lakkak"
"lo","kau"
"azan","ngabbang"
"habis (tidak bersisa)","langngis"
"pintu","lawang"
"serta merta","kontan"
"hormati","hormatek"
"ini","itto'"
"muara","muare"
"abg","biak muda"
"mau kemana","nak kemane"
"sangat besar","bagong"
"banyak mulut","labbeh"
"agak asin","masse'"
"supaya","gare"
"cicip","japai"
"pikiran","akal"
"batas ruas jari","bukko' tangan"
"paman","pak tuak"
"mengelap","incalap"
"laksana","laksane"
"test","tarai"
"mengakui","ako'"
"selalu","malar"
"distribusi","distribusi"
"kesana","kesinun"
"senapan","baddel"
"kemaren","simari"
"lompat pakai satu kaki","engke'-engke'"
"pernah","suah"
"berkata","madahkan"
"berkelahi","kelai"
"nama sebuah kampung atau dusun yang berada di desa beringin kecamatan sajad kabupaten sambas kalimantan barat","segerunding"
"diatas","nenjen"
"anak kedua","angah"
"besar","gargasi"
"denyut","dannyot"
"ancang ancang","edar"
"kamu","dirrek"
"dirinya","die"
"iba","saggal"
"iya sama","aok same"
"paham","ngerati"
"gangguan mata sehingga kurang dapat melihat","bullar"
"permainan tradisional anak-anak","Kap-kap undang"
"rapi","beres"
"angkuh","berawe"
"afen","afen"
"datangi","sirre'"
"hubungan seksual","ngentot"
"ndak","ndak"
"kupu-kupu","rami"
"penuh","panoh"
"berbicara asal-asalan","ngeramput"
"kesawah","ke umme"
"dulu","dolo'k"
"tempat membasuh pecah belah didapur","pelaccahan"
"kata mu","jimu"
"ikut bersama","kentel"
"mustahil","paik"
"bertengkar","cekcok"
"ilalang","alang-alang"
"jatuh","cecer"
"bakung","bakong"
"gara gara","gare gare"
"biar","lekan"
"kelapa","kelapak"
"pegawai masjid","labbai"
"benjol","bincut"
"bersembunyi","betappor"
"design","currak"
"pintar","pintar"
"meletup","melattup"
"dikaitkan","caik"
"pekerjaan pandai besi","mantan"
"dahulu kala","ge' mare'"
"bubur pedas","bubbor padas"
"berjumpa","bejumpe"
"ngambek","merajok"
"hantu bangkit","kabbat limma'"
"rupanya","rupenye"
"sudah makan","udah makan"
"ungkapan untuk sesuatu yang wah","bayyak - bayyak"
"bangkrut","ampo'"
"tempat buang air besar/kecil","jamban"
"kantong dari kain untuk menyimpan uang atau emas pada","ponjen"
"selesai","lakak"
"oke","oke"
"jaman dulu","gek marek"
"mengelap","ncallap"
"mengatur","ngator"
"percikan air saat turun hujan","impiyas"
"tidur yang membengkokkan kaki","ngetok"
"berdesak-desakan","begasak"
"iris","irris"
"merdeka","merdeka"
"nanti","kalla'k"
"bandel","soso"
"otak","otak"
"munafik","munafik"
"minuram keras","arak"
"lawan","lawan"
"tidak tahu","da'an tau"
"bau kentut","lassing"
"cd","kaset"
"asem","masam"
"cacat kaki","kuddong"
"bosan","bajjoh"
"sebentar","bantar"
"benar","inyan,"
"sungai","sungai"
"daki","taggar"
"malas","jarreh"
"berfoto","bepatrek"
"kumat","ndatang"
"area","dakkat"
"tuhan","tuhan"
"agar","gare"
"makan malam","makan malam"
"terkelupas","ngelopak"
"berselimut","bekumbo'"
"laron","cakkaller"
"tekan kuat","hannyak"
"mendadak","mugge"
"berkumur","ngkurrup"
"tempat minum","cawan"
"gigi maju","jonga'"
"gunting","gunting"
"kota","kota"
"isco","isco"
"antar","antar"
"dahi yang luas","jandol"
"Satu-satunya","ina'ang"
"mengembalikan","mullangkan"
"insanak","sanak saudara"
"diambil dengan jari","japput"
"kaku","kako'"
"numpang","numpang"
"sagal","kasihan"
"ti","kejarrik-kejarrik"
"jin","butte"
"memang sudah diketahui bakal demikian","jamman dah tau"
"melengkung","ngelok"
"sampai","anggan"
"bergumul","begumal"
"kelasnya","kalasnye"
"pelit","rettok"
"apel","apel"
"ambil ancang-ancang","ngedar"
"tampi","nampe'"
"diatas","atas"
"apaan","ape we"
"suara berat","gandau"
"putus","pagat"
"bola","bola"
"handpone","empon"
"berceceran","belaceran"
"buluh","abe'"
"traktor","traktor"
"melerai","melarak"
"kampil","kampel"
"tersungkur","tejerungus"
"genangan","gannang"
"pakaian bekas hasil impor luar negeri","lelong"
"tinggalkan","alle"
"lain dari yang lain","endah"
"kata pujian","juy"
"games","games"
"sembarang","barang ja'"
"kucilkan","layah"
"jika","kallu"
"begini","gai tok"
"bangunin","bangunkan"
"mengetahui","mengetahuek"
"ko","ko"
"menunjukkan keheranan atau diluar dugaan","bo a bo'"
"lempar","lempar"
"kena tidak tepat","ngintis"
"tebar","arai"
"berpelukan","bedako'"
"berminyak","mlanning"
"kena","kanak"
"kemban","kamban"
"bekas kekasih","mantan"
"lembab","jappok"
"bingung","kassal"
"terheran melihat sesuatu yang baru","sappok"
"bekas luka atau koreng yg bertumpuk","borek"
"tumit kaki tebal","kaddal"
"lelet","entet-entet"
"kemasukan","kesarongan"
"nakal","soso"
"geram","ngerigitan"
"tamak","kamok"
"jelek","johot"
"jenggot","janggut"
"lembek","liccak"
"lambat dalam memahami sesuatu","babbal"
"jodoh","jodo"
"remang-remang","kadau"
"kamar","kamar"
"kok = mengapa","tang/kan"
"berjalan dalam gelap","betatap"
"mengayam","ayam"
"Satu-satunya","na'ang"
"azan","ngabang"
"anai anai","anai"
"ngomong tidak jelas","iccak"
"jala besar","jale basar"
"orang sangat pelit","kedakkut"
"gigi yang bertumpuk tumbuhnya","tukak"
"keadaan","keadaan"
"lepaskan","lunsong"
"kelahi","kelai"
"selangkangan","perangka'an"
"berlubang","lobong"
"ikan segar","ikan iddup"
"biji","bigge'"
"ngelamar","melamar"
"jagung","jagong"
"ganda","gande"
"bulat","bullat"
"mending","maseh pakai"
"malam ni","malam itok"
"belum di khitan","kulup"
"merasa tidak puas","beda'we"
"susah","payah"
"teriak-teriak","kak keraok"
"haus","aus"
"disitu","disie"
"bentang","bantang"
"anting2","subbang"
"rogoh","callok"
"padi","beranyi"
"tambah","tambah"
"kutu","gutu"
"kepala termiring-miring","lelek"
"tuna wicara","awa'"
"matahari","mateari"
"sakit dibagian persendian dan tulang","rakkok"
"menyatakan tidak mungkin/tidak dapat/mustahil","pae'"
"tertawa terbahak-bahak","ngekeh"
"suamiku","lakiku"
"kontan","kontan"
"bermain","incaan"
"lancar berbicara dan merangkai kata","fasih"
"sangat jauh","langngut"
"kerot","kerot"
"makanan khas","darram-darram"
"besok","issok"
"bergerak dicelah-celah","nyallah"
"kesel","bancik"
"serba salah","singkol"
"capek","kappa'"
"menyikut","nyiggong"
"menjulurkan lidah","tejaller"
"segala","segale"
"tidak ada","dissek"
"ketiak","kalintiak"
"ceper","redang"
"apakah","apeke"
"bodoh","sadol"
"berpindah","bekaleh"
"tidak pergi","nogo"
"jiwa","jiwe"
"gelisah","ngelinsar"
"membesar","mlanner"
"kejar","burru"
"sepertinya","rupe-rupenye"
"seperti","macamnak"
"hibah","hibah"
"induk","indok"
"bahasa sambas","bahase sambas"
"patutlah","pantasan"
"mengeja","ngeje"
"panggilan yang biasanya digunakan untuk anak kelahiran ke-2","angah"
"kata hubung, penekanan sebuah pernyataan, pertanyaan","be"
"pagar penahan","cerocok"
"berdebar","bedabbar"
"cangkok","cangkok"
"sangat gemuk","gambau"
"buat","polah"
"pecah","simpak"
"putus","ngladding"
"makan","majoh"
"serius","singinyan"
"prajurit","prajurit"
"ayah","ayah"
"goda","gode"
"amprah","ngurus"
"panggilan kepada ibu kandung","umak"
"traktir","jamin"
"manja","bongka'"
"putri malu","kangkong supan"
"teman","kawan"
"tertabrak","telanggar"
"pembatas","intare"
"senapan tradisional","baddel lantak"
"terjatuh dari jalan kaki atau berlari","serampah"
"merenggut","meranggut"
"gemetar","ngelotek"
"luas tanpa halangan","lapang"
"aslinya","aslinye"
"angkat","anggong"
"jentik jentik","ngkattek"
"cuka","cukka'"
"sobek","sirah"
"batas ruas tebu","bukko'"
"seperti apa","macam nak ape"
"lusin","dus"
"senyap","sanyap"
"tak jadi","daan jadi"
"pemalu","penyupan"
"panggilan untuk gadis belia","dare"
"berlari laju","becacak"
"berpangku tangan","mlakko'"
"garang","garang"
"dibiarkan","adukan"
"tenggelam","tengalam"
"bernasib baik","mujjor"
"memboyong habis","mborok"
"benar","inyan"
"kayanya","kayaknye"
"kisar","kissar"
"sombong","lawa"
"malaikat","malaikat"
"jalan-jalan","pelasser"
"dengar","nangar"
"kupas","lassik"
